Date,Open,High,Low,Close,Adj Close,Volume
2022-11-22,3272.000000,3318.949951,3255.050049,3314.250000,3208.324219,23411
2022-11-23,3330.000000,3330.000000,3290.750000,3310.399902,3204.597412,73213
2022-11-24,3315.000000,3392.000000,3307.050049,3378.500000,3270.520996,150131
2022-11-25,3378.000000,3402.000000,3348.000000,3388.850098,3280.540283,80720
2022-11-28,3371.000000,3416.199951,3365.000000,3397.399902,3288.816895,95814
2022-11-29,3380.250000,3428.000000,3380.250000,3397.100098,3288.526611,166776
2022-11-30,3390.000000,3413.149902,3375.050049,3392.399902,3283.976807,32178
2022-12-01,3421.000000,3479.649902,3421.000000,3475.100098,3364.033691,261887
2022-12-02,3460.000000,3468.000000,3414.000000,3439.250000,3329.329346,83358
2022-12-05,3424.000000,3435.850098,3407.300049,3425.000000,3315.534668,77725
2022-12-06,3400.000000,3407.850098,3367.850098,3384.350098,3276.183838,50436
2022-12-07,3367.000000,3394.649902,3354.050049,3380.600098,3272.553711,45278
2022-12-08,3374.000000,3374.000000,3339.050049,3350.300049,3243.222168,106443
2022-12-09,3366.000000,3372.000000,3277.000000,3292.649902,3187.414551,68806
2022-12-12,3250.000000,3295.000000,3236.350098,3284.500000,3179.525391,80179
2022-12-13,3280.199951,3339.399902,3269.000000,3331.899902,3225.410156,36869
2022-12-14,3341.000000,3378.050049,3341.000000,3364.699951,3257.162109,39334
2022-12-15,3364.000000,3364.000000,3300.000000,3304.550049,3198.934326,56212
2022-12-16,3280.000000,3291.100098,3225.100098,3238.100098,3134.608154,66727
2022-12-19,3234.000000,3246.000000,3195.000000,3201.600098,3099.274902,90877
2022-12-20,3201.000000,3248.050049,3164.000000,3242.899902,3139.254639,28562
2022-12-21,3249.000000,3283.000000,3239.350098,3267.149902,3162.729736,91096
2022-12-22,3288.000000,3290.949951,3244.600098,3258.699951,3154.549805,41242
2022-12-23,3235.100098,3265.850098,3218.699951,3227.300049,3124.153564,88714
2022-12-26,3225.000000,3271.949951,3225.000000,3255.850098,3151.791016,18484
2022-12-27,3265.000000,3273.949951,3230.600098,3259.050049,3154.888672,34548
2022-12-28,3245.000000,3266.949951,3226.800049,3256.300049,3152.226563,41409
