Date,Open,High,Low,Close,Adj Close,Volume
2022-08-22,3234.850098,3257.000000,3218.100098,3221.649902,3118.683838,28323
2022-08-29,3145.000000,3226.949951,3081.300049,3129.649902,3029.624268,772377
2022-09-05,3129.649902,3232.000000,3102.000000,3217.300049,3114.473145,692722
2022-09-12,3233.850098,3268.699951,3001.000000,3008.649902,2912.491455,1138595
2022-09-19,3025.000000,3079.899902,2980.000000,2982.800049,2887.467773,1385910
2022-09-26,2978.000000,3052.500000,2926.000000,3004.600098,2908.571289,746528
2022-10-03,3004.600098,3124.100098,2973.850098,3064.949951,2966.992188,650264
2022-10-10,3013.100098,3149.000000,3013.050049,3097.649902,2998.646729,1985297
2022-10-17,3082.000000,3160.000000,3072.550049,3139.399902,3039.062500,1429428
2022-10-24,3160.000000,3183.949951,3134.600098,3162.949951,3061.859863,264200
2022-10-31,3193.000000,3270.000000,3168.000000,3216.300049,3113.504883,1959566
2022-11-07,3225.000000,3341.250000,3172.399902,3316.100098,3210.115479,652213
2022-11-14,3321.000000,3367.000000,3291.800049,3341.800049,3234.993896,659511
2022-11-21,3330.000000,3402.000000,3255.050049,3388.850098,3280.540283,353588
2022-11-28,3371.000000,3479.649902,3365.000000,3439.250000,3329.329346,640013
2022-12-05,3424.000000,3435.850098,3277.000000,3292.649902,3187.414551,348688
2022-12-12,3250.000000,3378.050049,3225.100098,3238.100098,3134.608154,279321
2022-12-19,3234.000000,3290.949951,3164.000000,3227.300049,3124.153564,340491
2022-12-26,3225.000000,3299.050049,3225.000000,3259.250000,3155.082275,329497
2023-01-02,3265.000000,3336.100098,3200.000000,3212.000000,3109.342529,306363
2023-01-09,3243.899902,3379.100098,3215.300049,3374.199951,3266.358154,519021
2023-01-16,3320.000000,3407.649902,3298.750000,3361.649902,3254.209473,417174
2023-01-23,3375.300049,3451.750000,3358.000000,3410.399902,3376.451172,233511
2023-01-30,3413.550049,3498.000000,3347.699951,3481.850098,3447.190186,356296
2023-02-06,3475.000000,3547.949951,3437.000000,3535.449951,3500.256348,233604
2023-02-13,3548.000000,3575.000000,3460.449951,3499.649902,3464.812988,306005
2023-02-20,3506.000000,3522.000000,3382.550049,3400.050049,3366.204346,264129
2023-02-27,3397.899902,3397.899902,3300.050049,3342.750000,3309.474854,199966
2023-03-06,3356.000000,3404.000000,3295.000000,3331.050049,3297.891113,191577
2023-03-13,3331.050049,3369.250000,3145.000000,3178.949951,3147.305420,740385
2023-03-20,3173.500000,3173.500000,3096.100098,3121.449951,3090.377686,181427
2023-03-27,3123.850098,3214.000000,3105.000000,3205.800049,3173.887939,174152
2023-04-03,3225.000000,3263.600098,3175.000000,3221.699951,3189.629883,356542
2023-04-10,3217.000000,3275.000000,3181.050049,3189.850098,3158.096924,565045
2023-04-17,3150.000000,3165.750000,3070.300049,3161.649902,3130.177246,664424
2023-04-24,3151.000000,3227.199951,3126.600098,3216.000000,3183.986572,371134
2023-05-01,3217.000000,3242.899902,3174.050049,3230.850098,3198.688721,220997
2023-05-08,3230.850098,3309.000000,3230.850098,3273.750000,3241.161621,181060
2023-05-15,3280.500000,3292.750000,3198.649902,3221.750000,3189.679199,101000
2023-05-22,3222.850098,3339.000000,3218.149902,3329.000000,3295.861572,179165
2023-05-29,3317.000000,3339.800049,3271.000000,3304.399902,3271.506348,153947
2023-06-05,3313.000000,3325.850098,3207.000000,3210.449951,3178.491699,496074
2023-06-12,3210.050049,3265.000000,3156.199951,3175.250000,3143.642090,611643
2023-06-19,3175.300049,3267.000000,3173.000000,3217.449951,3209.107422,432860
2023-06-26,3202.000000,3309.600098,3172.449951,3300.500000,3291.942139,358036
2023-07-03,3300.850098,3356.399902,3300.850098,3325.699951,3317.076660,60304
2023-07-10,3326.100098,3524.000000,3265.000000,3512.000000,3502.893555,429495
2023-07-17,3512.000000,3549.000000,3357.699951,3369.600098,3360.863037,332197
2023-07-24,3374.000000,3421.750000,3331.000000,3355.350098,3355.350098,190380
2023-07-31,3425.000000,3470.149902,3367.300049,3442.300049,3442.300049,162345
2023-08-07,3443.000000,3487.750000,3415.000000,3449.350098,3449.350098,390382
2023-08-14,3425.050049,3465.050049,3350.000000,3367.649902,3367.649902,774519
2023-08-21,3367.000000,3413.550049,3350.000000,3380.600098,3380.600098,519446
2023-08-25,3375.000000,3385.000000,3350.000000,3380.600098,3380.600098,155554
